service_id,date,exception_type
0_2,20230725,1
0_3,20230726,1
0_4,20230727,1
0_5,20230728,1
0_6,20230729,1
1_7,20230730,1
0_1,20230731,1
0_2,20230801,1
0_3,20230802,1
0_4,20230803,1
0_5,20230804,1
0_6,20230805,1
1_7,20230806,1
0_1,20230807,1
0_2,20230808,1
0_3,20230809,1
0_4,20230810,1
0_5,20230811,1
0_6,20230812,1
1_7,20230813,1
0_1,20230814,1
2_7,20230815,1
0_3,20230816,1
0_4,20230817,1
0_5,20230818,1
0_6,20230819,1
1_7,20230820,1
0_1,20230821,1
0_2,20230822,1
0_3,20230823,1
0_4,20230824,1
0_5,20230825,1
0_6,20230826,1
1_7,20230827,1
3_1,20230828,1
3_2,20230829,1
4_3,20230830,1
3_4,20230831,1
3_5,20230901,1
5_6,20230902,1
6_7,20230903,1
7_1,20230904,1
7_2,20230905,1
8_3,20230906,1
7_4,20230907,1
7_5,20230908,1
5_6,20230909,1
6_7,20230910,1
7_1,20230911,1
7_2,20230912,1
8_3,20230913,1
7_4,20230914,1
7_5,20230915,1
5_6,20230916,1
6_7,20230917,1
7_1,20230918,1
7_2,20230919,1
8_3,20230920,1
7_4,20230921,1
7_5,20230922,1
5_6,20230923,1
6_7,20230924,1
7_1,20230925,1
7_2,20230926,1
8_3,20230927,1
7_4,20230928,1
7_5,20230929,1
5_6,20230930,1
6_7,20231001,1
7_1,20231002,1
7_2,20231003,1
8_3,20231004,1
7_4,20231005,1
7_5,20231006,1
5_6,20231007,1
6_7,20231008,1
7_1,20231009,1
7_2,20231010,1
8_3,20231011,1
7_4,20231012,1
7_5,20231013,1
5_6,20231014,1
6_7,20231015,1
7_1,20231016,1
7_2,20231017,1
8_3,20231018,1
7_4,20231019,1
7_5,20231020,1
5_6,20231021,1
6_7,20231022,1
9_1,20231023,1
9_2,20231024,1
9_3,20231025,1
9_4,20231026,1
9_5,20231027,1
5_6,20231028,1
6_7,20231029,1
9_1,20231030,1
9_2,20231031,1
6_7,20231101,1
9_4,20231102,1
9_5,20231103,1
5_6,20231104,1
6_7,20231105,1
7_1,20231106,1
7_2,20231107,1
8_3,20231108,1
7_4,20231109,1
7_5,20231110,1
6_7,20231111,1
6_7,20231112,1
7_1,20231113,1
7_2,20231114,1
8_3,20231115,1
7_4,20231116,1
7_5,20231117,1
5_6,20231118,1
6_7,20231119,1
7_1,20231120,1
7_2,20231121,1
8_3,20231122,1
7_4,20231123,1
7_5,20231124,1
5_6,20231125,1
6_7,20231126,1
7_1,20231127,1
7_2,20231128,1
8_3,20231129,1
7_4,20231130,1
7_5,20231201,1
5_6,20231202,1
6_7,20231203,1
7_1,20231204,1
7_2,20231205,1
