stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,wheelchair_boarding,vehicle_type
0:VRNIE2,Vernier,,45.5765425,5.9197756,,0,1:VRNIE,,3
0:VRNIE1,Vernier,,45.5763696,5.9201899,,0,1:VRNIE,,3
0:ROTDE2,Rotonde,,45.5776926,5.9174752,,0,1:ROTDE,,3
0:ROTDE1,Rotonde,,45.5782458,5.9173375,,0,1:ROTDE,,3
0:PLSUD2,Plan Sud,,45.6009911,5.8756478,,0,1:PLSUD,,3
0:PLSUD1,Plan Sud,,45.6008629,5.8760776,,0,1:PLSUD,,3
0:MOULI1,Les Moulins,,45.5904706,5.8701992,,0,1:MOULI,,3
0:DEBUS2,Debussy,,45.571862,5.8906487,,0,1:DEBUS,,3
0:CURTE1,Curtet,,45.6192295,5.9483632,,0,1:CURTE,,3
0:LYAGR1,Lycée Agricole,,45.5652048,5.8933804,,0,1:LYAGR,,3
0:LAVOI1,Lavoisier,,45.6023817,5.8776455,,0,1:LAVOI,,3
0:CHYME1,Grand Chambéry,,45.5981478,5.8954986,,0,1:CHYME,,3
0:FRASS,Les Frasses,,45.5282974,5.9923758,,0,1:FRASS,,3
0:ZIMOL2,ZI Mollard,,45.5681703,5.9635318,,0,1:ZIMOL,,3
0:ZIMOL1,ZI Mollard,,45.5681913,5.9637639,,0,1:ZIMOL,,3
0:BELLO1,Belle Eau,,45.610486,5.8898012,,0,1:BELLO,,3
0:CUIAL1,Curial,,45.5640739,5.9241861,,0,1:CUIAL,,3
0:CEJEO2,St Jeoire Centre,,45.5319796,5.9921641,,0,1:CEJEO,,3
0:GENDA2,Gendarmerie,,45.6013274,5.9143809,,0,1:GENDA,,3
0:HORIZ1,Horizon,,45.5911221,5.9163084,,0,1:HORIZ,,3
0:CHTME2,Chantemerle,,45.5809042,5.9221868,,0,1:CHTME,,3
0:AOSTE2,Aoste,,45.5960386,5.9157457,,0,1:AOSTE,,3
0:HOPBI2,Hopital Biset,,45.5641466,5.9147996,,0,1:HOPBI,,3
0:EGBAZ1,Eglise Barberaz,,45.5577697,5.9399386,,0,1:EGBAZ,,3
0:LYGRA2,Lycée Du Granier,,45.5507957,5.9697214,,0,1:LYGRAA,,3
0:POLIC1,Hôtel De Police,,45.574781,5.9164751,,0,1:POLIC,,3
0:HTCHA2,Chamoux,,45.5838068,5.8791962,,0,1:HTCHA,,3
0:JOPET1,Joppet,,45.5690189,5.9304896,,0,1:JOPET,,3
0:PREJO1,Pré Joli,,45.5538965,5.9655907,,0,1:PREJO,,3
0:MOLAS2,Les Molasses,,45.5619998,5.8725479,,0,1:MOLAS,,3
0:DEGAU,De Gaulle,,45.5933145,5.8703337,,0,1:MOTTE,,3
0:MADEL1,Madeleine,,45.5652727,5.9489958,,0,1:MADEL,,3
0:VILNE1,Villeneuve,,45.5827862,5.9546374,,0,1:VILNE,,3
0:ROUTE1,Les Routes,,45.6116965,5.9459464,,0,1:ROUTE,,3
0:BARIL1,Barillettes,,45.5746248,5.9641207,,0,1:BARIL,,3
0:FRETE1,Frettey,,45.5767029,5.9673242,,0,1:FRETE,,3
0:THOIR2,Thoiry Chef-Lieu,,45.5880911,6.0288842,,0,1:THOIR,,3
0:VILET1,Villette,,45.5531059,5.9545565,,0,1:VILET,,3
0:LORAT2,L'Oratoire,,45.5332142,5.8931221,,0,1:LORAT,,3
0:MARTI2,Martinière,,45.5713284,5.9407346,,0,1:MARTI,,3
0:REINA2,Reinach,,45.5959872,5.8676483,,0,1:REINA,,3
0:DARDL3,Dardel,,45.5988582,5.915432,,0,1:DARDL,,3
0:POLYG2,Polygone,,45.5819204,5.9111532,,0,1:POLYG,,3
0:BELDO1,Belledonnes,,45.5586331,5.9568265,,0,1:BELDO,,3
0:PCHAM1,Petit Champ,,45.6015009,5.9174195,,0,1:PCHAM,,3
0:VIMCL1,Vimines Chef-Lieu,,45.5464332,5.8653425,,0,1:VIMCL,,3
0:RAUTI1,Route D'Autigny,,45.6161166,5.9090728,,0,1:RAUTI,,3
0:VERCL1,Verel Chef-Lieu,,45.6069272,5.9491335,,0,1:VERCL,,3
0:JOPET2,Joppet,,45.5690558,5.9311459,,0,1:JOPET,,3
0:APRMT2,Apremont,,45.5615819,5.946452,,0,1:APRMT,,3
0:LPNIV2,LP Nivolet,,45.5709611,5.9714818,,0,1:LPNIV,,3
0:BELVE1,Belvédère,,45.6132716,5.9460173,,0,1:BELVE,,3
0:LEBOI2,Le Bois,,45.5681014,6.0239559,,0,1:LEBOI,,3
0:CHPNO1,Champenois,,45.5560782,5.8933274,,0,1:CHPNO,,3
0:FRENE2,Le Freney,,45.5602996,5.8494352,,0,1:FRENE,,3
0:MRAVO1,Mairie La Ravoire,,45.558594,5.9641231,,0,1:MRAVO,,3
0:TRPRE2,Trois Prés,,45.5400941,5.9896269,,0,1:TRPRE,,3
0:SLEVL2,Stade Level,,45.5745397,5.9028234,,0,1:SLEVL,,3
0:BARIL2,Barillettes,,45.5749104,5.9642258,,0,1:BARIL,,3
0:EGBAZ2,Eglise Barberaz,,45.5573147,5.9401068,,0,1:EGBAZ,,3
0:CRET2,Crêt,,45.623684,5.9154033,,0,1:CRET,,3
0:PACHO1,Les Pachouds,,45.5513991,6.0314717,,0,1:PACHO,,3
0:BOMON1,Beaumont,,45.6252828,5.9166433,,0,1:BOMON,,3
0:MONGE1,Monge,,45.5663136,5.9347084,,0,1:MONGE,,3
0:PREAN2,Pré De L'Ane,,45.5983678,5.9145333,,0,1:PREAN,,3
0:CRLOU2,Creux Du Loup,,45.5890771,5.9166371,,0,1:CRLOU,,3
0:ZIALBN1,ZI Albanne,,45.5444039,5.9582223,,0,1:ZIALBN,,3
0:PONTE1,Le Pontet,,45.5439543,5.912674,,0,1:PONTE,,3
0:SONBA2,Sonnaz Le Bas,,45.6231709,5.918163,,0,1:SONBA,,3
0:BONET1,Les Bonnets,,45.5355958,5.8933617,,0,1:BONET,,3
0:HERMI1,Hermitage,,45.5856038,5.9233843,,0,1:HERMI,,3
0:MAPAR1,Mas Partout,,45.6099099,5.9470711,,0,1:MAPAR,,3
0:VERGE1,VERGER,,45.5339673,5.9548706,,0,1:VERGE,,3
0:ROSEL1,Roselend,,45.637425,5.8737508,,0,1:ROSEL,,3
0:ROSEL2,Roselend,,45.6375473,5.8746049,,0,1:ROSEL,,3
0:CARME1,Carmes,,45.5674692,5.9290991,,0,1:CARME,,3
0:LTHER2,Les Thermes,,45.5857562,5.983774,,0,1:LTHER,,3
0:VALER1,Valérieux,,45.5610733,5.9193329,,0,1:VALER,,3
0:SOURC2,Sources,,45.5855734,5.8795318,,0,1:SOURC,,3
0:CHOSP2,Hôpital Maché,,45.5642932,5.9108819,,0,1:CHOSP,,3
0:PRAVA2,Pra Varnay,,45.5918408,5.8655856,,0,1:PRAVA,,3
0:LONGE1,Longefand,,45.5763868,5.943364,,0,1:LONGE,,3
0:CCHAL2,Challes Centre,,45.5490901,5.9847766,,0,1:CCHAL,,3
0:BEMAZ1,Bémaz,,45.5872812,5.9443918,,0,1:BEMAZ,,3
0:PALAT2,Palatiers,,45.6050193,5.9483515,,0,1:PALAT,,3
0:PRTRO12,PR La Trousse,,45.5715976,5.9593142,,0,1:PRTRO,,3
0:PARIN1,Champ Parin,,45.5553302,5.9184149,,0,1:PARIN6,,3
0:THET2,Le Thêt,,45.5403481,5.861566,,0,1:THET,,3
0:SEAUX1,Service Des Eaux,,45.5893143,5.8959611,,0,1:SEAUX,,3
0:PRTRO3,PR La Trousse,,45.5720018,5.9603879,,0,1:PRTRO,,3
0:LOREE2,L'Orée Des Bois,,45.5925771,5.8734528,,0,1:LOREE,,3
0:ITALI2,Place D'Italie,,45.5665165,5.9255465,,0,1:ITALI,,3
0:COVIL,Collège Villette,,45.551562,5.9515885,,0,1:COVIL,,3
0:GOTTE2,Gotteland,,45.5480705,5.9376546,,0,1:GOTTE,,3
0:GOTTE1,Gotteland,,45.5480375,5.9375374,,0,1:GOTTE,,3
0:LOREE1,L'Orée Des Bois,,45.5925172,5.8729748,,0,1:LOREE,,3
0:VALFL1,Vallon Fleuri,,45.5557539,5.963843,,0,1:VALFL,,3
0:LANDN2,Landiers Nord,,45.6125739,5.8881511,,0,1:LANDN,,3
0:PEYSS2,Peysse,,45.5598303,5.9517336,,0,1:PEYSS,,3
0:PORET1,Porretaz,,45.5409319,5.9477016,,0,1:PORET,,3
0:COVET1,Covet,,45.5661906,5.9152021,,0,1:COVET,,3
0:GONRA1,Gonrat,,45.574712,5.9374627,,0,1:GONRA,,3
0:GARAT1,Garatte,,45.5666219,5.9349813,,0,1:GARAT,,3
0:CHATO1,Le Château,,45.5436557,5.8668404,,0,1:CHATO,,3
0:CONDE2,Condemine,,45.5642034,6.0381759,,0,1:CONDE,,3
0:HORIZ2,Horizon,,45.5911064,5.9165643,,0,1:HORIZ,,3
0:TUNEL1,Tunnel,,45.5730108,5.9318682,,0,1:TUNEL,,3
0:MOGNY1,Montagny,,45.58804,6.0059463,,0,1:MOGNY,,3
0:PANOR1,Panoramique,,45.575905,5.9801128,,0,1:PANOR,,3
0:CHAMB1,Chambotte,,45.5549423,5.9408917,,0,1:CHAMB,,3
0:CROUZ1,Le Crouzat,,45.5381122,6.0529165,,0,1:CROUZ,,3
0:PELRI1,Pellerin,,45.5794865,5.9216116,,0,1:PELRI,,3
0:BALZA1,Balzac,,45.5602687,5.9170073,,0,1:BALZA,,3
0:NECUI1,Nécuidet,,45.5286981,6.0378596,,0,1:NECUI,,3
0:EFI1,EFI,,45.5559362,5.9507567,,0,1:EFI,,3
0:CRXBI1,Croix De Bissy,,45.5820426,5.8872017,,0,1:CRXBI,,3
0:EFI2,EFI,,45.5557228,5.9509891,,0,1:EFI,,3
0:CASLA2,Casselagnat,,45.573779,5.9760081,,0,1:CASLA,,3
0:CHAMP,Champet,,45.5238858,5.9541157,,0,1:CHAMP,,3
0:CHABA2,Château De La Bâtie,,45.5773939,5.9854668,,0,1:CHABA,,3
0:CBARZ2,Barberaz Centre,,45.5646574,5.942908,,0,1:CBARZ,,3
0:MARQU2,Marquises,,45.5797264,5.9520875,,0,1:MARQU,,3
0:BEGON2,Bégon,,45.5682987,5.878519,,0,1:BEGON,,3
0:HTCHA1,Chamoux,,45.5834413,5.8793954,,0,1:HTCHA,,3
0:BUIRO2,Buisson Rond,,45.5660955,5.9389176,,0,1:BUIRO,,3
0:BIOLL2,Biollay,,45.5599596,5.9059852,,0,1:BIOLL,,3
0:SMAGE1,Stade Mager,,45.5792142,5.8934702,,0,1:SMAGE,,3
0:BOUCH2,Bouchets,,45.6037692,5.9129945,,0,1:BOUCH,,3
0:DARDL1,Dardel,,45.5996517,5.9157561,,0,1:DARDL,,3
0:MMOTE1,Mairie La Motte,,45.5961292,5.8783091,,0,1:MMOTE,,3
0:DMONT2,Domaine Des Monts,,45.5804376,5.9248826,,0,1:DMONT,,3
0:MOCHA2,Montée De Chalou,,45.5699987,5.8828539,,0,1:MOCHA,,3
0:CHTEA2,Château Des Comtes,,45.5515887,5.9877328,,0,1:CHTEA,,3
0:13BCA2,13ème BCA,,45.5631641,5.9817756,,0,1:13BCA,,3
0:ESTAD1,Ecole Du Stade,,45.5744435,5.9103756,,0,1:ESTAD,,3
0:COPLA1,Col De Plainpalais,,45.6448036,6.0149899,,0,1:COPLA,,3
0:HSALB2,Hauts De St Alban,,45.595465,5.9439795,,0,1:HSALB,,3
0:MJC1,MJC,,45.5663636,5.9303749,,0,1:MJC,,3
0:BARAQ4,Baraques,,45.5437259,5.9797815,,0,1:BARAQ,,3
0:STNIC1,Sainte Nicolle,,45.5877994,6.0112338,,0,1:STNIC,,3
0:TERAE2,Terraillets,,45.5364711,5.9597097,,0,1:TERAE,,3
0:PEMPL2,Pôle Emploi,,45.5698834,5.9350001,,0,1:PEMPL,,3
