route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
01,7_1,7_14920095,CEVENNES,1,01X45,L01P111
01,7_2,7_24920108,SALINS,0,01X51,L01P108
01,7_4,7_44920118,DE GAULLE,1,01X50,L01P110
11,4_3,4_34938598,COLLEGE  DE MAISTRE,0,11X41,L11P52
12,3_1,3_14938631,CHAVONNETTES,1,12X46,L12P57
01,7_2,7_24920099,CEVENNES,1,01X55,L01P111
01,7_4,7_44920117,CEVENNES,1,01X43,L01P111
12,3_1,3_14938630,LES DESERTS  CHEF-LIEU,1,12X45,L12P56
01,7_1,7_14920094,DE GAULLE,1,01X50,L01P110
01,7_4,7_44920116,SALINS,0,01X53,L01P108
15,8_3,8_34938705,MONGE,0,15X41,L15P24
01,7_2,7_24920098,SALINS,0,01X51,L01P108
15,8_3,8_34938704,MONGE,0,15X41,L15P24
01,7_1,7_14920093,CEVENNES,1,01X58,L01P111
01,7_2,7_24920097,SALINS,0,01X55,L01P108
01,7_4,7_44920296,SALINS,0,01X53,L01P109
12,4_3,4_34938616,Pradian,0,12X41,L12P89
15,8_3,8_34938708,HAUT DES  LAMETTES,1,15X42,L15P25
13,3_1,3_14938667,LA GUILLÈRE,1,13X43,L13P48
01,7_4,7_44920295,DE GAULLE,1,01X55,L01P110
12,4_3,4_34938623,COLLEGE  DE MAISTRE,0,12X43,L12P53
17,8_3,8_34938731,COLLEGE  H. BORDEAUX,0,17X42,L17P16
13,3_1,3_14938666,LA GUILLÈRE,1,13X44,L13P48
01,7_1,7_14920092,SALINS,0,01X53,L01P108
01,7_2,7_24920096,CEVENNES,1,01X51,L01P111
01,7_4,7_44920202,DE GAULLE,1,01X52,L01P112
12,4_3,4_34938622,COLLEGE  DE MAISTRE,0,12X41,L12P52
17,8_3,8_34938730,COLLEGE  H. BORDEAUX,0,17X41,L17P16
13,3_1,3_14938665,COLLEGE  J. MERMOZ,0,13X41,L13P47
18,3_4,3_44938767,FORGERIE,0,01X44,L18P53
12,4_3,4_34938621,ST JEAN D'ARVEY  CHEF LIEU,0,12X41,L12P51
17,8_3,8_34938735,COLLEGE  H. BORDEAUX,0,17X43,L17P16
13,3_1,3_14938671,COLLEGE  J. MERMOZ,0,13X42,L13P47
01,7_2,7_24920105,DE GAULLE,1,01X46,L01P110
01,7_4,7_44920115,SALINS,0,01X55,L01P109
10,4_3,4_34938581,PARC RELAIS  MAISON BRÛLEE,0,10X51,L10P24
14,8_3,8_34938698,LA GUILLERE,1,14X43,L14P21
17,3_1,3_14938741,MONZIN,1,17X45,L17P17
01,7_1,7_14920069,DE GAULLE,1,01X46,L01P110
10,4_3,4_34938580,PARC RELAIS  MAISON BRÛLEE,0,10X51,L10P24
14,8_3,8_34938697,COLLEGE  J. MERMOZ,0,14X42,L14P15
12,3_1,3_14938634,ST JEAN D'ARVEY  CHEF LIEU,1,12X45,L12P85
01,7_1,7_14920068,DE GAULLE,1,01X48,L01P110
01,7_4,7_44920114,CEVENNES,1,01X57,L01P111
11,4_3,4_34938603,PRAGONDRAN,1,11X42,L11P51
12,3_1,3_14938633,CHAVONNETTES,1,12X46,L12P59
01,7_1,7_14920091,SALINS,0,01X52,L01P108
01,7_2,7_24920111,SALINS,0,01X55,L01P108
01,7_4,7_44920113,DE GAULLE,1,01X53,L01P110
14,8_3,8_34938689,LA GUILLERE,1,14X44,L14P21
12,3_1,3_14938632,LES DESERTS  CHEF-LIEU,1,12X44,L12P84
01,7_2,7_24920110,CEVENNES,1,01X51,L01P111
01,7_4,7_44920112,SALINS,0,01X51,L01P108
01,7_1,7_14920090,SALINS,0,01X56,L01P108
